Season,Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
2018,"CLE",162,2413,6300,216,818,786,135,0.087936507,0.188730158,0.175692582,0.290741615,0.258623771,0.331739199,0.434316353,0.33030047978829197,,105.54291180077489,6.865913140933117,48.208253683212654,-15.351147616282105,25.507663550005166
2023,"TOR",162,2403,6220,188,746,705,99,0.088424437,0.20948553,0.160733549,0.300999268,0.255843221,0.3286657,0.41657677,0.32397466409512155,,106.63695367219292,-10.482831347326282,38.960007742575,3.247623700648546,25.501431522905037
2013,"STL",162,2341,6202,125,783,745,45,0.077555627,0.178974524,0.132625518,0.313559322,0.268850098,0.331760494,0.401475616,0.32220455204925275,,104.43371741261437,-9.088836937211454,20.993743216320116,28.646781298331916,25.49316067288552
2015,"CHC",162,2406,6200,171,689,657,95,0.091451612,0.244838709,0.153888181,0.304925723,0.24421781,0.321388033,0.398105991,0.31332536018362234,,95.7359956959924,15.125574137084186,-15.766058115274731,63.61993373371661,25.407945733127477
2023,"SDP",162,2329,6180,205,752,719,137,0.10566343,0.212135922,0.169598223,0.282769152,0.243658581,0.329163281,0.413256804,0.3232176678831986,,105.92806903461756,5.5570122776553035,50.849471955550094,-6.484476468525827,25.369767446605294
2016,"STL",162,2400,6223,225,779,745,35,0.084525148,0.211794954,0.187274694,0.294364804,0.255227108,0.325303152,0.442501802,0.32891382851808976,,104.73229914658083,-11.037342212097428,24.948735908132328,24.69684756360948,25.316544338593133
2013,"BAL",162,2246,6144,212,745,719,79,0.067708333,0.183105468,0.171174378,0.288354898,0.259786476,0.312571521,0.430960854,0.3233276020439611,,100.52424143826732,13.753639813512564,16.368160373045015,19.933778862003237,25.301221691858576
2019,"OAK",162,2363,6269,257,845,800,49,0.092199712,0.213431169,0.199424564,0.281609195,0.248876101,0.327211753,0.448300665,0.3274366984375006,,107.12993858745529,-3.1195964347571135,53.84363122535228,-21.27655142918229,25.21230245304237
2019,"TBR",162,2459,6285,217,769,730,94,0.086237072,0.237549721,0.177683013,0.306174089,0.25355366,0.32531464,0.431236673,0.3206100406996526,,104.03600350622158,-1.2223540009581484,31.000977136463533,-0.26688539353199303,25.09054318263787
2018,"ATL",162,2377,6251,175,759,717,90,0.08174692,0.206366981,0.160695091,0.302403846,0.256718022,0.324089003,0.417413113,0.3188998377658542,,95.9974407579497,12.442818555671693,-18.6707250706789,70.72229439392686,25.061580721172703
2021,"STL",162,2384,6001,198,706,678,89,0.079653391,0.223462756,0.16800598,0.28656639,0.243505886,0.313307601,0.411511866,0.3119674713671539,,95.22809257856153,10.672928104642779,-26.189049527351592,74.58574070595205,25.042647234179015
2017,"STL",162,2416,6219,196,761,728,81,0.09535295,0.216755105,0.169652651,0.303778337,0.256307129,0.333765392,0.42595978,0.3256457822380352,,100.82343544838783,2.6985886750626378,9.007218567881994,28.432709269225597,25.03351654310279
2016,"HOU",162,2334,6204,198,724,689,102,0.089297227,0.234042553,0.17006312,0.297758532,0.246528403,0.318601262,0.416591523,0.31674877027327875,,101.14884724421513,8.571206150343642,16.811004007686588,16.93203202704899,24.935069439310944
2010,"BOS",162,2327,6356,211,818,782,68,0.092353681,0.179358086,0.183315622,0.299470168,0.267623095,0.339076825,0.450938717,0.34484706866253567,,109.0030622586423,-7.175129196140915,59.733487085127024,-43.17500270716846,24.67057546295963
2010,"STL",162,2347,6241,150,736,689,79,0.086684826,0.164556962,0.139119451,0.296481271,0.262721039,0.331605378,0.40184049,0.32170831521482524,,98.9092391030269,1.8369148802012205,-6.847727750356421,53.77322189603001,24.65724582129215
2015,"NYM",162,2325,6145,177,683,654,51,0.079414157,0.209926769,0.155599782,0.28690127,0.244436403,0.311856091,0.400036185,0.30918703090216093,,98.20567202214782,6.199426792562008,-6.853359328646471,48.695558197796345,24.589518294612738
2019,"CHC",162,2429,6195,256,814,783,45,0.09378531,0.23567393,0.199597143,0.296511627,0.252334737,0.33127839,0.45193188,0.329643922545474,,100.37900173646679,-5.112391803226274,-2.3128626263523784,57.0519175902009,24.514716940155356
2022,"SEA",162,2383,6117,197,690,663,83,0.097433382,0.228379924,0.159627907,0.27156299,0.229953488,0.314660114,0.389581395,0.3103639398568093,,108.18624903483115,1.8656683575245552,58.10410698753364,-18.826360411243513,24.44240226241746
2014,"DET",162,2330,6202,155,757,731,106,0.071428571,0.184456626,0.14955595,0.319216757,0.276554174,0.330851408,0.426110124,0.33121230676393243,,111.81664381165552,-7.266084023984149,73.033782106404,-45.8443574719131,24.38306759856356
2018,"WSN",162,2441,6288,191,771,737,119,0.100349872,0.204993638,0.164400943,0.297032131,0.254123617,0.334880742,0.41852456,0.3252910632556483,,100.84317769261807,7.141588722122833,13.219665957478611,31.03569506946951,24.375669598170568
2023,"MIN",162,2427,6219,233,778,745,86,0.095513748,0.265959157,0.184186555,0.303522289,0.243395882,0.325761237,0.427582437,0.32666121018598804,,107.8399735253039,-5.331597013399005,53.08923411821142,-24.16794261150062,24.1731276498006
